,Date,Year,Month,Day,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
15878,2000-07-02,2000,7,2,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.044,0.071,11,101,0.554167,0.8,0,9.0,9.416667,20.0,7,29.0,36.041667,79.0,22,78
15879,2000-07-03,2000,7,3,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.031529,0.06,11,67,0.7111109999999999,0.9,21,10.0,8.857142999999997,19.0,3,27.0,42.458333,69.0,20,67
15880,2000-07-04,2000,7,4,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.041059,0.055,9,51,0.670833,0.9,0,10.0,6.041667,11.0,5,16.0,27.541667,48.0,0,45
15881,2000-07-05,2000,7,5,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.026471,0.042,7,39,0.408333,0.6,0,7.0,3.833333,6.0,5,9.0,22.571429,37.0,20,35
15882,2000-07-06,2000,7,6,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.026063,0.046,8,43,0.3375,0.4,0,5.0,3.25,6.0,19,9.0,19.583333,35.0,19,33
15883,2000-07-07,2000,7,7,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.019765,0.027,9,25,0.3125,0.4,0,5.0,4.4583330000000005,8.0,4,11.0,19.333333,24.0,0,23
15884,2000-07-08,2000,7,8,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.016588,0.03,9,28,0.25,0.4,22,5.0,3.416667,7.0,22,10.0,18.208333,40.0,23,38
15885,2000-07-09,2000,7,9,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.039,0.056,8,54,0.533333,0.6,2,7.0,7.416666999999999,11.0,7,16.0,30.958333000000003,43.0,18,41
15886,2000-07-10,2000,7,10,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.034765,0.052,8,48,0.479167,0.6,0,7.0,5.913043,16.0,2,23.0,23.791667,35.0,6,33
15887,2000-07-11,2000,7,11,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.026235,0.041,9,38,0.316667,0.4,0,5.0,4.625,8.0,6,11.0,19.875,34.0,20,32
15888,2000-07-12,2000,7,12,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.026471,0.042,10,39,0.329167,0.5,22,6.0,4.916667,18.0,22,26.0,25.0,74.0,21,72
15889,2000-07-13,2000,7,13,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.03,0.053,10,49,0.525,0.6,8,7.0,7.666666999999999,20.0,6,29.0,37.956522,59.0,0,56
15890,2000-07-14,2000,7,14,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.031,0.035,10,32,0.604167,0.7,14,8.0,5.0833330000000005,17.0,2,24.0,30.791667,45.0,0,42
15891,2000-07-15,2000,7,15,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.020529,0.026,7,24,0.516667,0.6,0,7.0,1.791667,4.0,21,6.0,17.375,30.0,23,28
15892,2000-07-16,2000,7,16,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.034706,0.058,9,61,0.633333,0.7,4,8.0,3.791667,6.0,7,9.0,27.416667,48.0,19,45
15893,2000-07-17,2000,7,17,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.026824,0.049,8,45,0.620833,0.7,0,8.0,2.217391,4.0,23,6.0,23.625,36.0,3,34
15894,2000-07-18,2000,7,18,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.040647,0.061,10,71,0.679167,0.8,6,9.0,10.875,39.0,7,55.0,33.083333,54.0,7,51
15895,2000-07-19,2000,7,19,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.001909,0.0069999999999999,7,6,0.6,0.9,21,10.0,6.291667,15.0,20,21.0,27.875,39.0,14,37
15896,2000-07-20,2000,7,20,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.023588,0.044,11,41,0.625,0.9,0,10.0,4.2083330000000005,8.0,6,11.0,26.208333,66.0,20,64
15897,2000-07-21,2000,7,21,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.041471,0.058,11,61,0.770833,0.9,8,10.0,11.125,24.0,0,34.0,35.6,55.0,20,52
15898,2000-07-22,2000,7,22,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.025941,0.044,9,41,0.566667,0.7,0,8.0,4.875,11.0,1,16.0,23.125,38.0,21,36
15899,2000-07-23,2000,7,23,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.024059,0.042,11,39,0.4875,0.7,22,8.0,4.3333330000000005,13.0,23,19.0,24.791667,71.0,22,69
15900,2000-07-24,2000,7,24,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.029294,0.043,13,40,0.679167,0.8,0,9.0,6.5833330000000005,17.0,10,24.0,28.708333000000003,46.0,0,43
15901,2000-07-25,2000,7,25,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.029941,0.037,12,34,0.5,0.6,0,7.0,5.454545,19.0,11,27.0,18.375,33.0,5,31
15902,2000-07-26,2000,7,26,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.016588,0.022,17,20,0.495833,0.6,11,7.0,2.333333,4.0,2,6.0,16.318182,24.0,7,23
15903,2000-07-27,2000,7,27,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.007118,0.01,20,9,0.558333,0.7,18,8.0,2.583333,6.0,14,9.0,19.416667,26.0,16,25
15904,2000-07-28,2000,7,28,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.013294,0.023,11,21,0.55,0.7,23,8.0,3.0,9.0,20,13.0,20.125,41.0,21,39
15905,2000-07-29,2000,7,29,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.012294,0.021,10,19,0.7,0.8,4,9.0,2.875,4.0,1,6.0,27.291667,35.0,1,33
15906,2000-07-30,2000,7,30,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.014,0.02,11,19,0.641667,0.7,0,8.0,2.25,4.0,4,6.0,19.666667,27.0,0,25
15907,2000-07-31,2000,7,31,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.020941,0.023,11,21,0.4875,0.6,0,7.0,1.454545,2.0,0,3.0,13.541667000000002,22.0,5,21
15908,2000-08-01,2000,8,1,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.002091,0.006,7,6,0.55,0.8,22,9.0,5.5,19.0,19,27.0,19.541667,33.0,19,31
