,price,model,year,title_status,mileage,state,condition_1,brand_chevrolet,brand_dodge,brand_ford,brand_nissan,brand_other,color_black,color_blue,color_gray,color_other,color_red,color_silver,color_white
148,10780,75,2018,0,19420.0,6,960.0,0,1,0,0,0,0,0,0,0,0,0,1
149,6700,27,2014,0,204155.0,32,4320.0,0,0,1,0,0,0,0,0,1,0,0,0
150,20000,0,2016,0,93493.0,40,1260.0,1,0,0,0,0,0,0,0,0,0,0,1
151,6440,33,2018,0,20942.0,6,1020.0,0,0,0,0,1,0,0,1,0,0,0,0
152,19900,32,2016,0,86826.0,34,1260.0,0,0,1,0,0,0,0,1,0,0,0,0
153,37000,32,2015,0,45787.0,40,1260.0,1,0,0,0,0,0,0,0,0,0,0,1
154,4040,75,2018,0,50765.0,6,960.0,0,1,0,0,0,0,0,0,0,1,0,0
155,22300,49,2016,0,62774.0,34,1260.0,0,0,1,0,0,1,0,0,0,0,0,0
156,31200,32,2011,0,76326.0,40,1260.0,1,0,0,0,0,0,0,1,0,0,0,0
157,4290,75,2018,0,39029.0,6,960.0,0,1,0,0,0,0,0,0,0,0,0,1
158,22800,40,2016,0,72885.0,34,1260.0,0,0,1,0,0,0,0,0,0,0,1,0
159,19002,32,2016,0,46467.0,16,1200.0,0,0,0,0,1,0,0,0,0,0,0,1
160,4160,75,2018,0,6743.0,6,960.0,0,1,0,0,0,0,0,1,0,0,0,0
161,18500,39,2016,0,33514.0,34,1260.0,0,0,1,0,0,0,0,0,0,0,0,1
162,39000,95,2016,0,39917.0,16,2880.0,0,0,0,0,1,0,1,0,0,0,0,0
163,6060,33,2018,0,32504.0,6,1080.0,0,1,0,0,0,1,0,0,0,0,0,0
164,28800,32,2016,0,77638.0,34,1260.0,0,0,1,0,0,0,0,0,0,0,0,1
165,40000,95,2016,0,31727.0,16,2880.0,0,0,0,0,1,0,0,1,0,0,0,0
166,6140,33,2018,0,52966.0,6,960.0,0,1,0,0,0,0,0,0,0,0,1,0
167,21000,54,2016,0,24157.0,34,1260.0,0,0,1,0,0,0,0,1,0,0,0,0
168,20105,32,2016,0,51393.0,16,1200.0,0,0,0,0,1,0,0,0,1,0,0,0
169,6760,33,2018,0,35461.0,6,960.0,0,1,0,0,0,0,0,0,0,0,0,1
170,25800,32,2014,0,47055.0,32,1440.0,0,0,1,0,0,0,0,0,1,0,0,0
171,39000,95,2016,0,33110.0,16,2880.0,0,0,0,0,1,1,0,0,0,0,0,0
172,5470,75,2018,0,39721.0,6,960.0,0,1,0,0,0,1,0,0,0,0,0,0
173,14600,32,2014,0,75785.0,32,1260.0,0,0,1,0,0,1,0,0,0,0,0,0
174,24502,0,2016,0,33624.0,16,1200.0,1,0,0,0,0,1,0,0,0,0,0,0
175,15110,32,2017,0,42289.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
176,7900,32,2014,0,79422.0,26,1260.0,0,0,1,0,0,0,0,0,0,0,0,1
177,27305,32,2016,0,28844.0,16,180.0,1,0,0,0,0,0,1,0,0,0,0,0
178,15290,32,2017,0,66582.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
179,26500,32,2015,0,61436.0,34,1260.0,0,0,1,0,0,0,0,0,0,0,1,0
180,25502,32,2016,0,58303.0,16,1200.0,1,0,0,0,0,0,0,0,0,0,1,0
181,7320,75,2017,0,55618.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
182,3800,117,2009,0,261648.0,16,2880.0,1,0,0,0,0,0,0,0,0,0,0,1
183,24502,32,2016,0,33045.0,16,1200.0,1,0,0,0,0,0,0,0,0,0,0,1
184,4140,32,2017,0,40747.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
185,1400,86,2002,0,185460.0,16,2880.0,0,1,0,0,0,1,0,0,0,0,0,0
186,18402,104,2016,0,26667.0,16,2880.0,0,0,0,0,1,0,0,1,0,0,0,0
187,4160,32,2017,0,37176.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
188,175,32,2000,1,231240.0,27,4320.0,0,0,0,0,1,0,0,0,0,1,0,0
189,24503,18,2016,0,18006.0,16,1200.0,1,0,0,0,0,0,0,0,1,0,0,0
190,15840,32,2017,0,72445.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
191,20500,32,2014,0,123355.0,34,1260.0,0,0,1,0,0,1,0,0,0,0,0,0
192,21003,0,2016,0,44116.0,16,32.0,1,0,0,0,0,0,0,0,0,0,1,0
193,4200,32,2017,0,60219.0,36,2880.0,0,0,1,0,0,0,0,0,0,1,0,0
194,17400,32,2011,0,135077.0,7,1260.0,0,0,1,0,0,0,0,0,0,1,0,0
195,32001,32,2016,0,32058.0,16,2880.0,1,0,0,0,0,1,0,0,0,0,0,0
197,15700,10,2011,0,309564.0,34,1260.0,0,0,1,0,0,0,0,0,0,0,0,1
198,31009,32,2016,0,33928.0,16,2880.0,1,0,0,0,0,0,0,0,0,0,0,1
199,3740,122,2017,0,90618.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
200,5000,84,2001,0,109360.0,7,1260.0,0,1,0,0,0,0,0,0,0,0,0,1
201,31002,32,2016,0,71809.0,16,1200.0,1,0,0,0,0,0,0,0,0,0,0,1
202,3160,33,2017,0,31563.0,36,2880.0,0,0,1,0,0,0,0,1,0,0,0,0
203,8600,84,2005,0,219823.0,34,1260.0,0,1,0,0,0,0,0,1,0,0,0,0
204,6000,71,2018,0,42090.0,36,1260.0,1,0,0,0,0,0,0,1,0,0,0,0
205,12990,32,2017,0,126523.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
206,25,119,2020,1,7232.0,12,4320.0,1,0,0,0,0,1,0,0,0,0,0,0
207,13200,43,2017,0,60171.0,36,1260.0,0,0,0,0,1,1,0,0,0,0,0,0
208,4410,122,2017,0,209915.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
209,25,32,2005,1,151815.0,15,4320.0,0,0,0,0,1,0,0,0,0,0,1,0
